id,time,res_age,res_gender,ch_ageY,ch_ageM,ch_gender,school,fa_num,sib_num,education,conduct,hyperactive,emotional,peer,prosocial,sdq_sum,ch_sh,ios_cg,ios_oth,scr_time,outside_playing,lessons,excludeT1T2,excludeT2T3
376,T1,31,2,1,19,2,inf,3,1,4,1,1,0,2,5,4,,5,3,3.25,2,0,excluded,NA
379,T1,23,2,0,8,2,inf,3,1,2,1,4,0,5,0,10,,6,3,4.321428571,2,1,excluded,NA
386,T1,42,2,9,108,1,sch,5,3,2,2,4,0,1,5,7,7,4,1,3.285714286,0.5,0.214285714,excluded,NA
390,T1,42,2,8,104,1,sch,4,2,4,2,6,1,1,5,10,7,3,3,2.571428571,1,0,excluded,NA
391,T1,35,2,7,88,2,sch,5,3,2,4,4,1,3,0,12,7,6,1,6.785714286,0.5,0.214285714,excluded,NA
392,T1,36,2,5,70,2,presch,3,1,2,2,3,5,1,9,11,7,6,2,6.25,0.5,0,excluded,NA
396,T1,41,2,4,53,2,presch,5,3,4,2,5,1,1,6,9,7,4,2,0,0.5,0,excluded,NA
407,T1,31,2,1,17,2,inf,3,2,2,2,3,3,2,4,10,7,7,4,0,0.5,0,excluded,NA
408,T1,43,2,3,42,2,inf,3,2,2,2,2,3,1,7,8,7,3,1,2.535714286,1,0,excluded,NA
409,T1,41,1,7,85,2,sch,4,2,4,2,6,2,1,7,11,2,5,4,1.821428571,1,0.214285714,excluded,NA
410,T1,43,2,9,112,2,sch,4,2,4,1,4,2,0,3,7,7,5,1,0.964285714,0.5,1,excluded,NA
417,T1,39,2,5,66,1,presch,4,2,3,8,6,10,6,9,30,7,6,1,2.357142857,0.5,0.214285714,excluded,NA
418,T1,32,2,8,106,2,sch,3,1,3,5,6,6,2,7,19,7,1,1,3.107142857,0.071428571,0.107142857,excluded,NA
420,T1,28,2,2,26,2,inf,3,1,2,3,6,3,2,5,14,2,2,1,3.5,1,0.642857143,excluded,NA
422,T1,22,2,0,2,1,inf,3,1,2,2,5,1,4,1,12,2,7,4,3.107142857,2,0.214285714,excluded,NA
427,T1,34,2,1,18,1,inf,3,1,2,4,6,2,6,0,18,,4,1,3.178571429,0.5,0,excluded,NA
432,T1,47,2,9,116,2,sch,4,2,4,4,3,0,1,8,8,7,5,2,2.821428571,0.214285714,0.214285714,excluded,NA
434,T1,37,1,6,78,2,sch,4,2,4,1,4,1,2,7,8,7,5,2,1.357142857,0.5,0.214285714,excluded,NA
437,T1,35,2,6,73,2,sch,4,2,2,0,3,4,3,9,10,4,1,1,3.5,0.5,0,excluded,NA
440,T1,36,2,9,109,2,sch,2,1,2,5,8,4,7,4,24,7,2,6,5.5,0.5,0.214285714,excluded,NA
